Abbott, BP
Penton-Voak, IS
Simmons, LW
Valentine, T
Koehler, N
Honekopp, J
Reber, R
Neave, N
Little, AC
Grammer, K
Swaddle, JP
Aharon, I
Morris, PE
Hume, DK
Tomkinson, GR
Langlois, JH
Scheib, JE
Rikowski, A
Flint, J
Rubenstein, AJ
SWADDLE, JP
SAMUELS, CA
KOESLAG, JH
Reis, SM
Halpern, Diane F
Handelsman, J
Hannover, B
Pajares, F
Salas-Zapata, WA
Wieman, CE
Chen, Z
Klassen, RM
Luft, JA
MACKINNON, DP
BENTLER, PM
Young, DM
Ceci, SJ
Bolker, BM
Cohen, GL
Lorenzo, M
Sawtelle, V
Glynn, SM
Eddy, SL
Traxler, A
Morice, J
Zhu, GT
Kim, MC
Greene, JA
Mason, A
Park, SI
Demetriadis, SN
Hulleman, CS
Mangels, JA
Walton, GM
Diekman, AB
Chi, MTH
MacPhee, D
Jagacinski, CM
Tatum, HE
Ramsey, LR
Shively, RL
Townley, G
Lauer, S
Shapiro, JR
Moss-Racusin, CA
Good, C
London, B
Holleran, SE
Miyake, A
Long, M
van den Bergh, L
Conger, D
Wolfe, J
Brodish, AB
Murphy, MC
Kiefer, AK
Costa, PT
Ahlqvist, S
Tine, M
Thoman, DB
Woodcock, A
Lawrence, JS
Pastor, DA
Lepper, MR
Seymour, E
AMABILE, TM
GREENE, D
Cech, EA
Metz, AM
Ghavami, N
Labov, JB
Su, R
Hausmann, LRM
Leaper, C
Gunderson, EA
Cherney, ID
Tomasetto, C
Abele, AE
Cvencek, D
Luo, WS
Juvonen, J
Li, YB
Brown, CS
Wai, J
Maltese, AV
Frenzel, AC
Else-Quest, NM
Gottfried, AE
Tyson, DF
Park, G
Hyde, JS
Frank, KA
Roseth, CJ
Crosnoe, R
Huguet, P
Weis, SE
Friedel, JM
Patrick, H
Blackwell, LS
Urdan, T
Tai, RH
Durik, AM
Martens, A
Lubinski, D
Quaiser-Pohl, C
Malouf, MA
Lesko, AC
Bouchey, HA
Levine, SC
Bhanot, R
Tenenbaum, HR
Jacobs, JA
Turner, SL
Schmader, T
Jacobs, JE
Jodl, KM
Gur, RC
Inzlicht, M
Bussey, K
Mueller, CM
Frome, PM
Wenneras, C
Gill, H S
CHEN, CS
ECCLES, JS
CASEY, MB
STEVENSON, HW
HARSHMAN, RA
Murray, C
Downer, JT
Doumen, S
Daly, BP
Elias, MJ
McCombs, BL
Garner, PW
Valiente, C
Bos, HMW
Howes, C
Graziano, PA
Pianta, RC
Henricsson, L
Cole, DA
Allhusen, V
Trzesniewski, KH
Hamre, BK
MacKinnon, D P
Marshman, EM
Vincent-Ruz, P
Madsen, A
Brewe, E
Hurtado, S
Galway, LP
Wright, CD
Robnett, RD
Theobald, R
Villafane, SM
Concannon, JP
Creech, LR
Sonnert, G
Nosek, BA
Ong, M
Kost-Smith, LE
Usher, EL
Roorda, DL
Riegle-Crumb, C
Marsh, HW
Perna, L
Turner, JC
Gasiewski, JA
Byars-Winston, A
Chang, MJ
Nagy-Shadman, E
Weaver, RR
Umbach, PD
Pike, GR
Handelsman, MM
Fredricks, JA
Jeong, A
Varelas, M
Taconis, R
Miller, PH
Ayene, M
Hrepic, Z
Baily, C
Russ, RS
Brookes, DT
Levrini, O
van Zee, EH
Jeppsson, F
Henderson, C
Camacho, CJ
Gamberale-Stille, G
WHITFIELD, TWA
Khuyen, NTT
Hernandez, PR
Stout, JG
Puts, DA
Felner, RD
Gregory, A
Godwin, A
Eris, O
Meyers, KL
Marra, RM
Li, J
Lock, RM
Stewart, J
Miller, K
Lovecchio, K
Deng, F
Irzik, G
Vosniadou, S
Jones, BC
FORTNEY, SM
Zebrowitz, LA
Gosling, C
Seeley, L
Kaltakci-Gurel, D
Otero, V
Ryan, RM
Moll, RF
Thornhill, R
Kanda, N
BROOKES, M
CUNNINGHAM, MR
Gerhardt, MW
Brown, ER
Brownell, SE
Isbell, LA
Nye, CD
McGee, R
Barkoukis, V
Balfanz, R
Corby, BC
Hines, M
Crowley, K
JOHNSON, O
Jerome, EM
Bergin, C
Ewing, AR
Pallock, LL
Willoughby, SD
Petersen, S
Meltzer, DE
Christensen, WM
Cochran, MJ
Watt, HMG
Akos, P
DeVore, S
Azevedo, R
Otta, E
Lynn, BM
WATSON, PJ
TEASDALE, JD
Kessels, U
Sugimoto, CR
Sikora, J
Quan, GM
Osborne, J
Kaplowitz, MD
Chalabaev, A
Simpkins, SD
Martin, AJ
Stipek, D
Gruman, DH
HOWES, C
Buhs, ES
Svanum, S
Urhahne, D
Gupta, A
Hall, R
Svensson, L
Chen, CM
Freeman, Scott
Hughes, JN
Stoet, G
Giuliani, SA
Mohr, P
Sadhukhan, J
Sadhukhan, J
Tang, TL
Reiter, MP
Kirsebom, OS
Sacomano , FL
Horowitz, CJ
Larsen, AC
Kajino, T
Tews, I
Dunlop, R
Manning, B
Schmitt, C
Neufcourt, L
Pitrou, C
De, S
Orford, R
Vilen, M
Most, ER
Annala, E
Fattoyev, FJ
Siegl, K
Livio, M
Schmidt, R
Bollig, R
Fuller, GM
Guerrero, C
Spyrou, A
Oertel, M
Schwengner, R
Wu, J
Thielemann, FK
Zhang, CL
Shafer, T
Baldo, M
Caballero-Folch, R
Liddick, SN
Moller, P
Marketin, T
Mustonen, MT
Mirizzi, A
Schmidt, KH
Atanasov, D
Mendoza-Temis, JD
Potel, G
Avrigeanu, V
Rodriguez, TR
Rrapaj, E
Ozen, C
Brown, BA
Beard, M
Tornyi, TG
Litvinova, E
Rauscher, T
Hillebrandt, W
Yee, RM
Eliseev, S
Zhi, Q
Blaum, K
Audi, G
Wang, M
Kozub, RL
Ono, M
Petermann, I
Cole, AL
Quinn, M
Escher, JE
Erler, J
Kotake, K
Liu, M
Juodagalvis, A
Chawla, S
Hosmer, P
Hudepohl, L
Kizivat, LT
Hatarik, R
Kiss, GG
Pereira, J
Sagert, I
Borzov, IN
Koning, AJ
Sun, BH
Anderson, M
Alhassid, Y
Grawe, H
Forssen, C
Mocelj, D
Qian, YZ
Yakovlev, DG
Rehse, SJ
Adrich, P
McLaughlin, GC
Guttormsen, M
Caurier, E
Hosmer, PT
Koura, H
Knie, K
Fogelberg, B
Dillmann, I
GORRES, J
MUSTAFA, MG
Xia, XW
Babcock, C
Leistenschneider, E
Andreyev, AN
Rodriguez-Guzman, R
Bertsch, GF
Welker, A
Lascar, D
Utama, R
Tao, H
Zhu, L
Rubio, B
Bliss, J
Tanimura, Y
Haverinen, T
Zhang, HF
Janiak, L
Huang, WJ
Denisov, VY
Hung, NQ
Schunck, N
Lestinsky, M
Madurga, M
Martini, M
Regnier, D
Afanasjev, AV
Penttila, H
Zhao, J
Klawitter, R
Hinohara, N
Konieczka, M
Bulgac, A
Watanabe, YX
Wang, R
Birch, M
Vogt, A
Scamps, G
Akber, A
McDonnell, JD
Niksic, T
Changizi, SA
Tarpanov, D
Aritomo, Y
Severyukhin, AP
Xu, ZY
Sobiczewski, A
Dobaczewski, J
Lacroix, D
Scielzo, ND
Kortelainen, M
Simenel, C
Shi, Y
Pastore, A
Van Schelt, J
Ito, Y
Staszczak, A
Kankainen, A
Wolf, RN
Hilaire, S
Robledo, LM
McCutchan, EA
Yamagami, M
Daoutidis, I
Hakala, J
Simon, VV
Eronen, T
Motobayashi, T
Ozawa, A
Kubo, T
Triguero, CR
Baran, A
Estrade, A
Younes, W
Nikolov, N
Reinhard, PG
Breitenfeldt, M
Costiris, NJ
Pei, JC
Baruah, S
Smith, M
Beun, J
Dworschak, M
Bollen, G
Bonneau, L
Terasaki, J
Athanassopoulos, S
Homma, H
Long, AM
Barbagallo, M
Zylstra, AB
Bergstrom, J
Cha, SM
deBoer, RJ
Langer, C
Goasduff, A
Nguyen, NB
Yabana, K
Matsuo, Y
Abe, S
Adelberger, EG
Saruwatari, M
Erikson, L
Ogata, K
Gasques, LR
Confortola, F
Weber, F
Byelikov, A
Ruiz, C
Das, JJ
Schumann, F
Woosley, S
Baby, LT
Ahmad, QR
Davids, B
Aharmim, B
Azuma, RE
Newton, JR
Longland, R
Rugel, G
Costantini, H
Elomaa, VV
Weber, C
Arpesella, C
Heil, M
Ugalde, C
Chafa, A
Strong, AW
Buchmann, LR
Schatz, H
Imbriani, G
Fox, C
Runkle, RC
Descouvemont, P
Jaeger, M
Dilling, J
Rice, S
Rasco, BC
Pellereau, E
Lica, R
Korgul, A
Fynbo, H
Heine, M
Ideguchi, E
Truesdale, VL
Batchelder, JC
Zhang, YH
Gade, A
Tanihata, I
Lozeva, R
Mitchell, AJ
Chen, RJ
Balasi, KG
Lee, P
Xu, X
Mumpower, M
Simpson, GS
Kurtukian-Nieto, T
Pfeiffer, B
Liberati, V
Elseviers, J
Caamano, M
Miernik, K
Balantekin, AB
De Witte, H
Blumenfeld, Y
Gaudefroy, L
Al-Dahan, N
Uesaka, T
Jones, KL
Beene, JR
Sarriguren, P
Duan, HY
Duan, H
Wieslander, JSE
Gaulard, C
Steer, SJ
Bachelet, C
Rahaman, S
Mukherjee, M
Domingo-Pardo, C
Matos, M
Chiba, S
Hager, U
Rinta-Antila, S
Vockenhuber, C
Froese, M
Delheij, P
Block, M
Muller, S
Hornillos, MBG
Herfurth, F
Savajols, H
Scherillo, A
Kolbe, E
Bhattacharyya, P
Mukhamedzhanov, AM
Lattimer, JM
Cappuzzello, F
Zhao, PW
Liang, HZ
Poulin, V
Suno, H
Anders, M
Uberseder, E
Kravchuk, PA
Avogadro, P
Agostini, M
Poltoratska, I
Kotila, J
Tamii, A
Garrido, E
Menendez, J
Fujita, Y
Bedaque, PF
Wang, BA
Pospelov, M
Jedamzik, K
Hardy, JC
Dubovichenko, SB
Burtebaev, N
Li, BA
Kievsky, A
Ahmed, MW
Brown, TAD
Amos, K
Li, ZH
Nagai, Y
Schael, S
Leonard, DS
Meng, J
Jaikumar, P
Marcucci, LE
Baumer, C
Chen, LW
Kudomi, N
Zhou, SG
Bertone, PF
Buchmann, L
Bang, JM
ICHIMARU, S
KOMAR, RJ
SHOPPA, TD
Lederer, C
Koehler, PE
Frenje, JA
Tagliente, G
Feinberg, G
Andriamonje, S
Kimura, A
Weller, HR
Faber, M
Alpizar-Vicente, AM
De Smet, L
Couture, A
Terlizzi, R
Marrone, S
Wisshak, K
Escher, J
Nassar, H
Abbondanno, U
Patronis, N
Meissner, J
JAAG, S
SCHATZ, H
VOSS, F
KOEHLER, PE
WISSHAK, K
Collett, T
Lemaitre, JF
Blinnikov, SI
Shen, YP
Chien, L
Genolini, Y
Zickefoose, J
Diaz-Torres, A
Cwiok, M
Kawanaka, N
Titus, R
Fang, X
Deboer, RJ
Deloncle, I
Pena-Arteaga, D
Aliotta, M
Raduta, AR
Carlson, J
Sellahewa, R
Nesterenko, DA
Potekhin, AY
Kopytin, IV
Angeli, I
Bernard, R
Leray, S
Roig, O
Dupuis, M
Fujii, K
Gosselin, G
Capote, R
Herman, M
Segawa, M
Shizuma, T
Goutte, H
Langanke, K
Zhou, X
Kubota, Y
Walker, PM
Steck, M
Cubiss, JG
Michimasa, S
Harding, RD
Mougeot, M
Puentes, D
de Roubin, A
Lin, YT
San Andres, SA
Canete, L
Walker, P
Manea, V
Wollnik, H
Aker, M
Yue, K
Chen, S
Schwarz, S
Karthein, J
Sandler, R
Ascher, P
Zhang, ZY
Ma, NN
Glorius, J
Durante, M
Guadilla, V
Rakopoulos, V
Grigorenko, LV
Ong, WJ
Fu, CY
Tarasov, OB
Rosenbusch, M
Hartley, DJ
Tu, XL
Valverde, AA
Izzo, C
Althubiti, NA
Kandegedara, RMEB
Zeng, Q
Brodeur, M
Lorenz, C
Gallant, AT
Mattera, A
Giacoppo, F
Schury, P
Nowacki, F
Mei, B
Orrigo, SEA
Gamage, ND
Eibach, M
Ruiz, RFG
Koloczek, A
Alanssari, M
Kobayashi, N
Gulyuz, K
Kwiatkowski, AA
Dolinskii, A
Nortershauser, W
Stohlker, T
Doherty, DT
Chowdhury, U
Tain, JL
Malbrunot-Ettenauer, S
Myers, EG
Bohm, C
Lennarz, A
Kreim, S
Schultz, BE
Macdonald, TD
Chaudhuri, A
Stanja, J
Bosch, F
Purushothaman, S
Bustabad, S
Shubina, D
Lincoln, DL
Droese, C
Reed, MW
Oganessian, YT
Grieser, M
Lapierre, A
Bertolli, M
Fallis, J
Haettner, E
Van Duppen, P
Otsuka, T
Rodriguez, D
Cakirli, RB
Otten, EW
Blank, B
Redshaw, M
Geissel, H
Dossat, C
George, S
Bentley, MA
Lunney, D
Dewey, MS
Sanchez, R
Samyn, M
Geng, LS
Weissman, L
Kellerbauer, A
Kettunen, H
Rodrigues, GC
Jensen, AS
Giovinazzo, J
Graham, MJ
Purrer, M
Giesler, M
Tse, M
Abbott, B
Fedrow, JM
Chiba, T
Bird, S
Zappa, F
Alvarez-Castillo, D
Evans, M
Postnov, KA
Grindlay, J
Fitoussi, C
Hirayama, Y
Park, J
Fukuda, N
Shimizu, Y
Olivier, L
Suzuki, H
Sahin, E
Sumikama, T
Yokoyama, R
Gurgi, LA
Yoshida, K
Goigoux, T
Bucher, B
Prokop, CJ
Santamaria, C
Kondev, FG
Flavigny, F
Wang, HK
Frauendorf, S
Tsunoda, Y
Recchia, F
Coraggio, L
Faestermann, T
Vargas, CE
Chen, FQ
Ichikawa, Y
Kameda, D
Marginean, R
Heyde, K
Singh, BSN
Lane, GJ
Alvarez-Pol, H
Naqvi, F
Ohnishi, T
Sarkar, S
Flanagan, KT
Folden, CM
Pauwels, D
Caceres, L
Zagrebaev, V
Ljungvall, J
Sorlin, O
Zhang, XP
Bastin, B
Seweryniak, D
Hwang, JK
Delion, DS
Porquet, MG
Mukha, I
Dinca, DC
Morita, K
Lisetskiy, AF
Schiffer, JP
Plettner, C
Bouchez, E
WALKER, PM
HAMAMOTO, I
ASAHI, K
Ferraro, F
Morales-Gallegos, L
Damone, L
Buompane, R
Cavanna, F
Acharya, S
Quevedo, HJ
Torresi, D
Honda, R
Mascali, D
Tsang, MB
Di Leva, A
Iskra, LW
Depalo, R
Togashi, T
Bruno, CG
Filipescu, D
Feliciello, A
Bottoni, S
Bracco, A
Lonardoni, D
Tribble, RE
Giubrone, G
De Filippo, E
Danielewicz, P
Cozma, MD
Savran, D
Okolowicz, J
Agnello, M
Abrahamyan, S
Reisdorf, W
Roca-Maza, X
Lanza, EG
Gulino, M
Sun, ZY
Maj, A
Xiao, ZG
von Oertzen, W
Aguilera, EF
Pagano, A
Li, TP
Bourgoin, A
Tsang, D
Sutton, PJ
Bishop, NT
Messenger, C
Bhowmick, B
Zilhao, M
Del Pozzo, W
Chatrchyan, S
Taranto, G
Choptuik, MW
Sathyaprakash, BS
Koppitz, M
Gonzalez, JA
Harding, AK
Feng, JL
Dimopoulos, S
Touboul, P
Johannsen, T
Armano, M
Ciufolini, I
Leefer, N
Abramowicz, MA
Guena, J
Turyshev, SG
Turyshev, SG
Sotiriou, TP
Yang, SQ
Famaey, B
Smiciklas, M
Rievers, B
Kleihaus, B
Genzel, R
Stecker, FW
Alexander, S
Blatt, S
Schlamminger, S
Tu, LC
Kapner, DJ
Petrov, YV
Elliott, JW
Stanwix, PL
Mohr, PJ
Peik, E
Fischer, M
Copi, CJ
Shapiro, SS
Srianand, R
Muller, H
Bize, S
Chiaverini, J
Marion, H
Lipa, JA
Max, K
Chicone, C
Schmidt-May, A
Tan, WH
Joyce, A
Saltas, ID
Avilez, A
Hanson, D
Weinberg, DH
Wang, JP
Foreman, S
Hassan, SF
Das, S
Cuadros-Melgar, B
Kiritsis, E
Li, M
Zuntz, JA
Papantonopoulos, E
Bender, CM
Hoekstra, H
Bridle, S
Zhang, PJ
Gregory, R
Deser, S
Kaloper, N
Kunz, M
Dodelson, S
Lewis, A
Brummer, F
Krause, A
Skordis, C
Bostock, P
Aghababaie, Y
Nilles, HP
Kanwar, G
Kejzlar, V
Sprouse, TM
Caprio, MA
Lasseri, RD
Dawkins, WG
Edelen, A
Epelbaum, E
Esfahani, AA
Sambataro, M
Ma, YF
Ma, CW
Catacora-Rios, M
Steinheimer, J
Jiang, WG
Rodriguez, UB
Khalek, RA
Lim, Y
Bernhard, JE
Melendez, JA
Wang, ZA
Ekstrom, A
Scheinker, A
He, YY
King, GB
Negoita, GA
Karpie, J
Wesolowski, S
Bursa, F
Freer, M
Lovell, AE
Lin, HW
Komiske, PT
Xu, YR
Elhatisari, S
Ethier, JJ
Kumericki, K
Pratt, S
Bhalerao, RS
Hofler, A
Schindler, MR
Bazarov, IV
Bass, SA
Aoki, S
Gysbers, P
Blanton, TD
Iritani, T
Liu, HN
Mai, M
Randhawa, JS
Andersen, C
Drischler, C
Stroberg, SR
Bansal, A
Baroni, A
Frame, D
Brett, R
Reinert, P
Gongyo, S
Morris, TD
Miyamoto, T
McIlroy, C
Piarulli, M
Huth, L
Hammer, HW
Entem, DR
Fossez, K
Simonis, J
Gandolfi, S
Buraczynski, M
Engel, J
Rotureau, J
Briceno, RA
Calci, A
Hagen, G
Dyhdalo, A
Long, BW
Hergert, H
Carlsson, BD
Lynn, JE
Kisamori, K
Kirscher, J
Furnstahl, RJ
Barnea, N
Gezerlis, A
Kurth, T
Carbone, A
Beane, SR
Kruger, T
Maris, P
Barrett, BR
Bernard, V
Polejaeva, K
Machleidt, R
Inoue, T
Gazit, D
Valderrama, MP
Nogga, A
Kim, CH
He, S
Wiringa, RB
WIRINGA, RB
STOKS, V
Guo, XY
Athenodorou, A
Takaura, H
Buras, AJ
Capitani, S
Seng, CY
Colangelo, G
Ablikim, M
Lutz, MFM
Dimopoulos, P
Hansen, M
Radici, M
Brida, MD
Chang, E
Brown, MAP
Giusti, D
de Elvira, JR
Amhis, Y
Ishikawa, KI
Boyle, PA
Alexandrou, C
Hansen, MT
Boyle, P
Bruno, M
Acharya, NR
Datta, A
Dalla Brida, M
Aaij, R
Bernard, C
Baikov, PA
Herzog, F
Sufian, RS
Garron, N
Patrignani, C
Horsley, R
Cossu, G
Accardi, A
Endres, MG
Luthe, T
Abdel-Rehim, A
Durr, S
Niedermayer, F
Lucini, B
Bai, Z
Bhattacharya, T
Bijnens, J
Bailey, JA
Helmes, C
Dehnadi, B
Engel, GP
Dudek, JJ
Carrasco, N
Karbstein, F
Atoui, M
Bazavov, A
Chowdhury, A
Gonzalez-Alonso, M
Buttazzo, D
Borsanyi, S
Brandt, BB
Cichy, K
Bouchard, C
Fritzsch, P
Bulava, J
Kim, BH
Herdoiza, G
Mund, D
Mendenhall, MP
Bertone, V
Bali, GS
Ren, XL
Dudek, J
Della Morte, M
Blossier, B
Ishikawa, T
Dinter, S
de Divitiis, GM
Brod, J
Caprini, I
Jansen, K
Doring, M
Hammant, TC
Grozin, AG
Luscher, M
Lehner, C
Schaefer, S
Nguyen, OH
Towner, IS
Tekin, F
Brambilla, N
Antonelli, M
Baron, R
Constantinou, M
Maas, A
Davies, CTH
Fukaya, H
Anzai, C
Smirnov, AV
Maier, A
Kiyo, Y
Wilburn, WS
Hasenfratz, P
Toussaint, D
Flynn, JM
Chen, JW
Giusti, L
Damgaard, PH
Shintani, E
Noaki, J
Kastner, A
Bernardoni, F
Uno, S
Maltman, K
Yamazaki, T
Follana, E
Antonio, DJ
Oller, JA
Basile, F
Kuhn, JH
Brommel, D
Hasenfratz, A
Kaneko, T
Akemann, G
Del Debbio, L
Chetyrkin, KG
Kniehl, BA
Narayanan, R
Edwards, RG
Becirevic, D
Aoki, Y
Boucaud, P
Schroder, Y
Aubin, C
Arnesen, CM
Mason, Q
Cirigliano, V
Gockeler, M
Okamoto, M
Gamiz, E
Frezzotti, R
Khan, AA
Heitger, J
Jamin, M
Roysircar, G
Adams, WK
Grunspan, DZ
Perez, T
Chemers, MM
Rauschenberger, MM
Crisp, RJ
Oh, SS
Turner, KL
Dar-Nimrod, I
Schwartz, SH
Jussim, L
Abou El-Maaref, A
Aguilar, L
Arcadi, G
Eiteneuer, B
Sirunyan, AM
Gaggero, D
Akerib, DS
Tan, AD
Liem, S
Abdallah, H
Aguilar, M
Banerjee, S
De Simone, A
Charles, E
Mayet, F
Bechtle, P
Bartels, R
Undagoitia, TM
Conrad, J
Bagnaschi, EA
Boyarsky, A
Ellis, J
Geringer-Sameth, A
Vega, JP
Streltsov, A
Racco, D
Choi, K
Beneke, M
Cahill-Rowley, M
Buchmueller, O
Hochberg, Y
Accardo, L
Hahn, T
Craig, N
Bernabei, R
DiFranzo, A
Freese, K
Dighe, A
El Hedri, S
Goudelis, A
Petraki, K
Cabrera, ME
Kowalska, K
Frenk, CS
Branco, GC
Kadastik, M
Kim, SC
Graesser, ML
Zhang, H
Lukash, VN
Bai, Y
Ellwanger, U
Beltran, M
Massey, R
Hall, LJ
Freitas, A
Goh, HS
Donato, F
Gleisberg, T
Bahr, M
Poland, D
Acharya, BS
Chacko, Z
Arkani-Hamed, N
Schmaltz, M
Cheng, HC
Xu, HS
Ringle, R
Plass, WR
Kimura, S
Becker, P
Zhou, N
Huang, CM
Kember, D
Conley, AM
Harackiewicz, JM
Eshach, H
Kalman, CS
Wood, AK
Bernacki, ML
Zwickl, BM
Bates, S
Hong, HY
Reynolds, B
DECI, EL
Hand, B
Brown, BR
Li, LM
Fredlund, T
Colvin, KF
Guo, J
Issa, N
Song, HS
Jiang, L
Sins, PHM
Kalyuga, S
Song, HD
White, B
Graesser, AC
Thompson, RA
Perrot, LJ
Williams, MJ
Wang, Z
Sax, LJ
Croft, A
Miller, DI
Unsworth, N
Smyth, FL
Clark, JK
Rozek, CS
Zell, E
Koch, AJ
Lang, C
Litzler, E
Tucker-Drob, EM
Greenwald, AG
Legewie, J
Deemer, ED
Cundiff, JL
Iskander, ET
Jones, BD
Ackerman, PL
Martinez, S
Ryoo, JJ
Fischer, FT
Grover, S
Beasley, MA
Chow, A
Perez-Felkner, L
Louis, RA
Wood, W
Simmons, JP
Stephens, NM
Park, LE
Weisgram, ES
Howard, KAS
Ganley, CM
Forbes, CE
Lindberg, SM
Ferriman, K
Logel, C
Bosson, JK
Fralick, B
Evans, CD
Vandello, JA
Casey, BM
Morris, LK
Hartman, H
Carr, M
Rudman, LA
Singh, K
Gilmartin, S
Ehrlinger, J
Eagly, AH
Benbow, CP
Wacker, J
Feiler, DC
Hundhammer, T
Ronay, R
Hoyt, CL
Ames, DR
Driskell, JE
DeCoster, J
ZOLLO, LJ
Ko, SJ
Hassin, R
ARONOVITCH, CD
Stephen, ID
Smith, FG
DeBruine, LM
Lie, HC
Hill, SE
Derntl, B
Wiszewska, A
Oinonen, KA
Alvergne, A
Fink, B
Apicella, CL
Changizi, MA
Dal Martello, MF
Giese, MA
Webster, MA
Uller, T
Macrae, CN
Bressan, P
Drummond, PD
Mealey, L
ENQUIST, M
GRAMMER, K
THORNHILL, R
POSNER, MI
WALSTER, E
Miller, G
Pastor, JC
Deschner, T
Buston, PM
WEARY, DM
Bleeker, MA
Gess-Newsome, J
Thibaut, L
Dou, R
Jager, J
Keller, MM
Krzywacki, H
Park, H
de Boer, E
Henke, A
Qhobela, M
Becerra-Labra, C
Mulhall, P
Wahono, B
Bell, D
Guzey, SS
Salami, MK
Cavlazoglu, B
Nadelson, LS
Peterman, K
Stevens, S
Radloff, J
Quigley, CF
Kelley, TR
Feinstein, NW
Moore, TJ
Chiu, MH
Jerneck, A
Hoy, AW
Dijksterhuis, A
WARREN, SC
JARSKI, RW
Christensen, R
DeChenne, SE
Goldsmith, CA
Kennedy, SY
Finsterwald, M
Levin, B
Roehrig, GH
Choi, BCK
Smith, MK
Bush, SD
Sundberg, MD
Burton, JP
Howe, C
Lane, KA
Cech, E
Hegyi, G
Haak, DC
Freeman, S
Meece, JL
Johnson, JB
Ecklund, EH
Symonds, MRE
Burnham, KP
Carrell, SE
Hoffmann, F
Freeman, TM
Wang, JL
Kachchaf, R
Leslie, SJ
Renninger, KA
Santagata, R
Britner, SL
Seron, C
Trujillo, G
Powell, Kendall
Gire, E
Bower, M
Alraimi, KM
Margaryan, A
Jones, TM
Cromley, JG
Johns, M
Beilock, SL
Carr, PB
Nguyen, HHD
Keller, J
Walsh, PE
Marx, DM
Sheldon, KM
Senko, C
Hunter, AB
Lubke, G
Hipp, JR
Fairchild, AJ
Iyengar, SS
Muthen, B
Vallerand, RJ
RYAN, RM
Mallett, RK
Mohatt, NV
Harrison, M
Allen, J
Horgan, TG
Appel, M
Eccles, JS
Campbell, SM
Guiso, L
Metheny, J
Betz, NE
Wood, D
Baron-Cohen, S
Stake, JE
Fuligni, AJ
Berndt, TJ
Schmidt, FL
Spilt, JL
Mercer, SH
Justice, LM
Bao, XH
Thijs, JT
Close, W
Belsky, J
Trentacosta, CJ
Decker, DM
Zimmer-Gembeck, MJ
Cicchetti, D
Connor, CM
Gest, SD
Faircloth, BS
Vedder, P
Garcia-Reid, P
Kuncel, NR
Silver, RB
Klem, AM
DiLalla, LF
Peisner-Feinberg, ES
Ladd, GW
Valeski, TN
Learner, DG
BUHRMESTER, D
Liew, J
Landry, SH
Buyse, E
McElhaney, KB
Mashburn, AJ
Denissen, JJA
Domitrovich, Celene E
Hughes, J
Palermo, F
Miles, SB
Meehan, BT
Brody, GH
Kuklinski, MR
Birch, SH
Bandura, A
ECCLES, J
DUBOW, EF
HARTER, S
Eisenberg, N
Rimm-Kaufman, SE
DuPaul, GJ
MacKinnon, DP
Little, M
Adams, JW
ROTHBART, MK
ALEXANDER, KL
GREENWOOD, CR
MIDGLEY, C
HUESMANN, LR
AYLLON, T
Brooks-Gunn, J
Hill, NE
Shrout, PE
Krull, JL
Anderman, LH
ZIMMERMAN, RS
Sweet, MA
Caspi, A
Greenfield, PM
Yeung, WJ
Linver, MR
Bradley, RH
Klebanov, PK
Webster-Stratton, C
Rutter, M
Weizman, ZO
Steinberg, L
Collins, WA
Reese, E
Coll, CG
BRADLEY, RH
CHASELANSDALE, PL
SPIKER, D
Culp, AM
Burchinal, MR
Hutcheson, JJ
CAMPBELL, FA
SEITZ, V
BROOKSGUNN, J
JACOBSON, SW
LIEBERMAN, AF
WASIK, BH
ACHENBACH, TM
Konrad, AM
Derks, B
Cadinu, M
Maddux, WW
Preacher, KJ
Pronin, E
Karpinski, A
JACOBS, JE
Grant, H
Brescoll, VL
Uhlmann, EL
Dovidio, JF
Monin, B
Williams, WM
Sinharay, S
Marmolejo, EK
Kling, KC
Cribbs, JD
Drury, BJ
Levy, ST
Slotta, JD
Wilensky, U
Wilson, NL
SHEPARD, RN
Ansell, EB
Kawakami, K
Zitek, EM
Bryan, AD
Anderson, C
Phelan, JE
Tiedens, LZ
Hess, U
Ferdenzi, C
Sutherland, CAM
Tigue, CC
Verosky, SC
Baumann, O
Welling, LLM
Olivola, CY
Vukovic, J
Buday, SK
BRUCE, V
Bian, L
Al-Yagon, M
Erez, A
Heilman, ME
Milkman, KL
Buczynski, S
Williams, LE
Rock, DA
Kohl, GO
VAN IJZENDOORN, MH
Masnick, AM
Farley, SD
Okimoto, TG
Evans, S
Buckingham, G
van Gog, T
Master, A
Bench, SW
Shaffer, ES
BASOLO, AL
Shahali, EHM
Mathis, CA
Sheltzer, JM
Gong, GL
Brendgen, M
Flook, L
Joussemet, M
Patterson, MM
Richman, LS
 Abbott, R
 Rasmussen, K
 Kato, D
 Hotokezaka, K
 Yang, YP
 Mumpower, MR
 Pakmor, R
 Yoshida, N
 Coulter, DA
 Gaigalas, G
 Wu, MR
 Fryer, CL
 Nakar, E
 Tews, I
 Myeong, GC
 Aloy, MA
 Woosley, SE
 Fujibayashi, S
 Hungerford, AM
 Shibata, M
 Guilet, J
 Cescutti, G
 Salvadori, S
 Curtis, S
 Covino, S
 Radice, D
 Salafia, OS
 Yague, A
 Lalakos, A
 Hansen, CJ
 Perego, A
 Dietrich, T
 Pignatari, M
 Thompson, TA
 Hansen, T
